date,error_type,value
2026-05-15,bedrock_error,0.0
2026-05-15,timeout,0.0
2026-05-15,upstream_error,2.0
2026-05-16,bedrock_error,0.0
2026-05-16,timeout,0.0
2026-05-16,upstream_error,1.0
2026-05-17,bedrock_error,0.0
2026-05-17,timeout,0.0
2026-05-17,upstream_error,0.0
2026-05-18,bedrock_error,0.0
2026-05-18,timeout,2.0
2026-05-18,upstream_error,0.0
2026-05-19,bedrock_error,0.0
2026-05-19,timeout,1.0
2026-05-19,upstream_error,0.0
2026-05-20,bedrock_error,0.0
2026-05-21,bedrock_error,0.0
2026-05-21,stream_abort,0.0
2026-05-21,timeout,0.0
2026-05-21,upstream_error,5.0
2026-05-22,stream_abort,4.0
2026-05-22,upstream_error,0.0
2026-05-25,stream_abort,16.0
2026-05-25,timeout,1.0
2026-05-25,upstream_error,0.0
