panel_id,panel_title,panel_type,ref_id,expr
1,Request Rate,timeseries,A,"sum(rate(gateway_proxy_requests_total{namespace=~"".*"", provider=~"".*"", model=~"".*""}[5m]))"
1,Request Rate,timeseries,B,"sum by(provider)(rate(gateway_proxy_requests_total{namespace=~"".*"", provider=~"".*"", model=~"".*""}[5m]))"
2,Active Requests,gauge,A,"sum(gateway_proxy_active_requests{namespace=~"".*"", provider=~"".*""})"
3,Error Rate,gauge,A,"sum(rate(gateway_proxy_errors_total{namespace=~"".*"", provider=~"".*""}[5m])) / sum(rate(gateway_proxy_requests_total{namespace=~"".*"", provider=~"".*""}[5m]))"
4,Request Latency (P50 / P95 / P99),timeseries,A,"histogram_quantile(0.50, sum by(le)(rate(gateway_proxy_request_duration_seconds_bucket{namespace=~"".*"", provider=~"".*"", model=~"".*""}[5m])))"
4,Request Latency (P50 / P95 / P99),timeseries,B,"histogram_quantile(0.95, sum by(le)(rate(gateway_proxy_request_duration_seconds_bucket{namespace=~"".*"", provider=~"".*"", model=~"".*""}[5m])))"
4,Request Latency (P50 / P95 / P99),timeseries,C,"histogram_quantile(0.99, sum by(le)(rate(gateway_proxy_request_duration_seconds_bucket{namespace=~"".*"", provider=~"".*"", model=~"".*""}[5m])))"
5,TTFB (P50 / P95),timeseries,A,"histogram_quantile(0.50, sum by(le)(rate(gateway_proxy_ttfb_seconds_bucket{namespace=~"".*"", provider=~"".*"", model=~"".*""}[5m])))"
5,TTFB (P50 / P95),timeseries,B,"histogram_quantile(0.95, sum by(le)(rate(gateway_proxy_ttfb_seconds_bucket{namespace=~"".*"", provider=~"".*"", model=~"".*""}[5m])))"
6,Token Consumption Rate,timeseries,A,"sum by(provider, direction)(rate(gateway_proxy_tokens_total{namespace=~"".*"", provider=~"".*"", model=~"".*""}[5m]))"
7,Requests by Provider,piechart,A,"sum by(provider)(rate(gateway_proxy_requests_total{namespace=~"".*"", provider=~"".*""}[5m]))"
8,Requests by Model,table,A,"sum by(model)(rate(gateway_proxy_requests_total{namespace=~"".*"", provider=~"".*"", model=~"".*""}[5m]))"
9,Errors by Type,timeseries,A,"sum by(error_type)(rate(gateway_proxy_errors_total{namespace=~"".*"", provider=~"".*""}[5m]))"
10,Errors by Provider,timeseries,A,"sum by(provider)(rate(gateway_proxy_errors_total{namespace=~"".*"", provider=~"".*""}[5m]))"
