date,model,value
2026-05-15,claude-sonnet-4-6,0.0
2026-05-15,unknown,520.0
2026-05-16,claude-sonnet-4-6,0.0
2026-05-16,unknown,392.0
2026-05-17,claude-sonnet-4-6,0.0
2026-05-17,unknown,381.0
2026-05-18,claude-sonnet-4-6,0.0
2026-05-18,unknown,814.0
2026-05-19,claude-sonnet-4-6,0.0
2026-05-19,unknown,303.0
2026-05-20,claude-sonnet-4-6,0.0
2026-05-20,deepseek-v4-flash,75.0
2026-05-20,unknown,252.0
2026-05-21,claude-4.6-sonnet-20260217,45.0
2026-05-21,claude-sonnet-4-6,0.0
2026-05-21,deepseek-v4-flash,354.0
2026-05-21,kimi-k2.5-0127,60.0
2026-05-21,unknown,454.0
2026-05-22,claude-4.6-sonnet-20260217,70.0
2026-05-22,claude-opus-4-5-20251101,702.0
2026-05-22,claude-sonnet-4-5-20250929,78.0
2026-05-22,deepseek-v4-flash,4000.0
2026-05-22,kimi-k2.5-0127,0.0
2026-05-22,unknown,362.0
2026-05-23,unknown,352.0
2026-05-24,unknown,144.0
2026-05-25,claude-opus-4-5-20251101,610.0
2026-05-25,claude-sonnet-4-5-20250929,1221.0
2026-05-25,claude-sonnet-4-6,36.0
2026-05-25,deepseek-v4-flash,863.0
2026-05-25,deepseek-v4-pro,3.0
2026-05-25,unknown,1086.0
