date,sandbox_checked,sandbox_healthy,sandbox_unreachable,sandbox_unreachable_rate,sandbox_health_rate
2026-05-15,1358.0,1968.0,26.0,0.01914580265095729,1.4491899852724595
2026-05-16,203.0,231.0,3.0,0.014778325123152709,1.1379310344827587
2026-05-17,122.0,117.0,1.0,0.00819672131147541,0.9590163934426229
2026-05-18,423.0,450.0,7.0,0.016548463356973995,1.0638297872340425
2026-05-19,2120.0,2121.0,6.0,0.002830188679245283,1.0004716981132076
2026-05-20,914.0,856.0,2.0,0.002188183807439825,0.936542669584245
2026-05-21,1463.0,1462.0,5.0,0.003417634996582365,0.9993164730006835
2026-05-22,635.0,635.0,0.0,0.0,1.0
2026-05-23,175.0,175.0,0.0,0.0,1.0
2026-05-24,9.0,9.0,0.0,0.0,1.0
2026-05-25,563.0,561.0,2.0,0.003552397868561279,0.9964476021314387
