date,category,users,new_users,existing_users,events
2026-05-15,im,62,22,40,148
2026-05-15,connector,24,17,7,54
2026-05-15,automation,12,1,11,1085
2026-05-15,attachment,221,180,41,854
2026-05-16,im,51,16,35,122
2026-05-16,connector,29,15,14,74
2026-05-16,automation,10,0,10,1342
2026-05-16,attachment,260,206,54,1137
2026-05-17,im,46,17,29,114
2026-05-17,connector,23,16,7,101
2026-05-17,automation,6,2,4,26
2026-05-17,attachment,252,205,47,1175
2026-05-18,im,56,12,44,207
2026-05-18,connector,22,8,14,55
2026-05-18,automation,11,1,10,315
2026-05-18,attachment,256,198,58,1137
2026-05-19,im,47,13,34,139
2026-05-19,connector,29,14,15,79
2026-05-19,automation,9,0,9,469
2026-05-19,attachment,212,158,54,967
2026-05-20,im,33,8,25,154
2026-05-20,connector,24,8,16,81
2026-05-20,automation,5,1,4,106
2026-05-20,attachment,117,70,47,680
2026-05-21,im,41,8,33,139
2026-05-21,connector,10,3,7,51
2026-05-21,automation,2,1,1,4
2026-05-21,attachment,104,65,39,464
2026-05-22,im,53,14,39,151
2026-05-22,connector,16,3,13,49
2026-05-22,automation,3,0,3,4
2026-05-22,attachment,97,65,32,433
2026-05-23,im,41,13,28,146
2026-05-23,connector,7,1,6,23
2026-05-23,automation,2,1,1,6
2026-05-23,attachment,137,106,31,635
2026-05-24,im,48,22,26,149
2026-05-24,connector,7,0,7,8
2026-05-24,automation,0,0,0,0
2026-05-24,attachment,110,81,29,607
2026-05-25,im,44,15,29,325
2026-05-25,connector,12,4,8,83
2026-05-25,automation,0,0,0,0
2026-05-25,attachment,127,84,43,528
