date,new_uv,registered_d0_users,checkout_started_d0_users,freetrial_d0_users,freetrial_message_d0_users,first_message_d0_users,first_task_start_d0_users,first_task_done_d0_users,d0_messages,d0_d2_messages,next_return_d1_users,next_chat_d1_users,next_task_start_d1_users,next_task_done_d1_users
2026-05-15,1286,366,25,17,14,304,31,30,2491,3364,86,81,8,8
2026-05-16,737,427,33,21,18,321,27,25,2682,3294,77,74,9,7
2026-05-17,646,370,25,17,16,300,17,15,2440,2819,55,51,4,4
2026-05-18,594,370,16,8,6,299,17,15,1900,2619,69,65,9,8
2026-05-19,660,353,64,15,14,244,21,16,1701,1968,49,47,1,0
2026-05-20,1056,465,287,70,63,102,10,0,992,1441,31,30,8,0
2026-05-21,580,240,176,76,64,90,9,0,890,1069,23,21,0,0
2026-05-22,526,241,189,122,111,136,9,0,1171,1528,45,44,5,0
2026-05-23,724,360,315,210,192,253,17,0,2309,,46,46,5,0
2026-05-24,655,281,236,149,103,159,26,0,1465,,,,,
2026-05-25,494,179,135,80,62,121,9,0,894,,,,,
