date,dau,new_dau,returning_dau,wau,new_wau,returning_wau,mau,new_mau,returning_mau,mau_freq_heavy_daily,mau_freq_medium,mau_freq_light,mau_freq_low,mau_freq_cooling
2026-05-15,686,510,176,4161,3860,301,7177,7098,79,1109,905,1314,833,3016
2026-05-16,507,350,157,3930,3585,345,7501,7423,78,1089,863,1234,744,3571
2026-05-17,456,327,129,3695,3360,335,7762,7683,79,1053,832,1147,663,4067
2026-05-18,507,346,161,3398,3041,357,7985,7898,87,977,794,1016,611,4587
2026-05-19,450,283,167,3141,2795,346,8162,8073,89,911,741,925,564,5021
2026-05-20,256,114,142,2798,2457,341,8153,8051,102,810,656,829,503,5355
2026-05-21,224,106,118,2411,2036,375,8067,7978,89,713,583,697,418,5656
2026-05-22,273,165,108,2072,1691,381,8225,8135,90,612,483,625,352,6153
2026-05-23,365,270,95,1997,1611,386,8493,8401,92,580,461,624,332,6496
2026-05-24,260,170,90,1839,1454,385,8650,8559,91,544,435,565,295,6811
2026-05-25,237,138,99,1618,1246,372,8750,8650,100,509,384,494,231,7132
